Benchmark , L1-dcache-load-misses , L1-icache-load-misses , LLC-load-misses , LLC-store-misses , branch-instructions , branch-misses , context-switches , cpu_clk_unhalted.ref_tsc , cycles , dTLB-load-misses , dTLB-store-misses , dtlb_load_misses.stlb_hit , dtlb_store_misses.stlb_hit , iTLB-load-misses , instructions , instructions:k , itlb.itlb_flush , l2_rqsts.all_code_rd , l2_rqsts.code_rd_miss , mem_inst_retired.all_loads , mem_inst_retired.all_stores , mem_load_retired.l3_miss , msr/tsc/ , offcore_response.demand_code_rd.l3_hit.any_snoop , offcore_response.demand_code_rd.l3_hit.hit_other_core_no_fwd , offcore_response.demand_code_rd.l3_hit.hitm_other_core , offcore_response.demand_code_rd.l3_hit.no_snoop_needed , offcore_response.demand_code_rd.l3_hit.snoop_hit_with_fwd , offcore_response.demand_code_rd.l3_miss.any_snoop , page-faults , tlb_flush.dtlb_thread , tlb_flush.stlb_any , uops_executed.core_cycles_ge_1 , uops_executed.thread , uops_executed.x87 , uops_retired.retire_slots 
LinqBenchmarks.Where00ForX , 0.00462779082842 , 0.00841742557565 , 0.00022717820863 , 4.92707415379e-05 , 0.237472899964 , 0.00294355235968 , 2.291160023e-07 , 0.45899135087 , 0.535954981279 , 8.76558023407e-05 , 4.28887054621e-05 , 0.00470938972771 , 0.000456464831158 , 5.40821915321e-05 , 1.43412069302e+11 , 0.033123611563 , 4.53588043995e-06 , 0.00818255378164 , 0.00197261980374 , 0.360137599599 , 0.159965153893 , 0.000169368611151 , 0.460454611341 , 0.00164697053149 , 1.19188015926e-07 , 9.86255903624e-07 , 0.00160635096559 , 4.31214752712e-05 , 0.000330503605664 , 4.33757077091e-06 , 1.90790427425e-05 , 1.01590891693e-05 , 0.394686723834 , 1.33705317573 , 0.000292433741484 , 0.983361560735 
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsDescendantOfIFoo , 0.00748138923346 , 0.00596825198985 , 0.000580042467144 , 0.000121276359225 , 0.238336628539 , 0.0017030335799 , 1.60613896508e-07 , 0.467827124756 , 0.59438115187 , 0.000172692488886 , 0.000112439620154 , 0.0069471297759 , 0.000699131472819 , 4.56265389447e-05 , 2.14807066823e+11 , 0.0433229414965 , 3.41917056484e-06 , 0.00579337272468 , 0.00135653962558 , 0.25454069445 , 0.0963405351 , 0.000486327361316 , 0.469147386119 , 0.00112450197087 , 7.97227030436e-08 , 6.58023044076e-07 , 0.00109882904921 , 2.86439784827e-05 , 0.000235188882504 , 9.19184377499e-06 , 2.63252512296e-05 , 1.52431111715e-05 , 0.377889672861 , 1.06782316141 , 0.00086491843936 , 0.924637515504 
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsNull , 0.00742148411091 , 0.0060346017591 , 0.000578281796267 , 0.000125554629237 , 0.236827178872 , 0.00171353960155 , 1.62016188009e-07 , 0.470884979378 , 0.592841693814 , 0.00016900601038 , 0.000109796738697 , 0.00694423914239 , 0.000682081646511 , 4.36583517367e-05 , 2.11836856686e+11 , 0.0431203555741 , 3.33697360818e-06 , 0.00586381339127 , 0.0013752778792 , 0.285385515036 , 0.109328515294 , 0.000482422292318 , 0.472178000046 , 0.0011461250549 , 8.09726894004e-08 , 6.57265228432e-07 , 0.00111679225089 , 3.00319363662e-05 , 0.00024345521741 , 9.01002323136e-06 , 2.59360155072e-05 , 1.47587584564e-05 , 0.406445887755 , 1.15678914861 , 0.000848005317914 , 0.971968236888 
BenchmarksGame.Fasta_2.RunBench , 0.00681377321786 , 0.0118544635227 , 0.000385999248176 , 7.90774989542e-05 , 0.196349317529 , 0.0041184391483 , 3.16293039576e-07 , 0.585610065597 , 0.649814518361 , 0.000133433183375 , 6.60984529168e-05 , 0.00587959535702 , 0.000585256242659 , 7.50438754544e-05 , 1.01437578402e+11 , 0.0489538048742 , 6.35885645302e-06 , 0.0115665187644 , 0.00278149506765 , 0.269102835833 , 0.133425344061 , 0.000301125179457 , 0.587605049627 , 0.00232227291612 , 1.70479227446e-07 , 1.39956022449e-06 , 0.00226515165898 , 6.02122220997e-05 , 0.000465791354095 , 6.70656782937e-06 , 2.81669480385e-05 , 1.47540489785e-05 , 0.448327077681 , 1.39869810463 , 0.000534760676019 , 1.045015381 
ByteMark.BenchIDEAEncryption , 0.00253628332497 , 0.00549540797195 , 0.000125812929417 , 2.28356005824e-05 , 0.180937150975 , 0.00523052758128 , 1.52893780837e-07 , 0.402398600864 , 0.505996456985 , 5.35100777462e-05 , 1.92866774977e-05 , 0.00213943730854 , 0.000211073710975 , 3.38878170564e-05 , 2.17078809997e+11 , 0.0200960945477 , 2.9530473288e-06 , 0.00535011067647 , 0.00129446559986 , 0.198761071915 , 0.124873285856 , 9.28337270703e-05 , 0.403506913039 , 0.00108521306158 , 7.74188876392e-08 , 6.48193160825e-07 , 0.00105729998706 , 2.80476431582e-05 , 0.000213853821111 , 2.30417699455e-06 , 1.14599900379e-05 , 5.84414941291e-06 , 0.385288680849 , 1.24472000772 , 0.000164308916197 , 0.964367849063 
Layout.SearchLoops.LoopReturn , 0.00556066182269 , 0.00623460930958 , 0.000386442114523 , 8.39988135985e-05 , 0.217386091238 , 0.00203037182264 , 1.67827083325e-07 , 0.402653467559 , 0.489596290833 , 0.000112308925236 , 7.15924286484e-05 , 0.00515577949231 , 0.000503799174583 , 4.34289632078e-05 , 1.98764104929e+11 , 0.0345983935 , 3.44085769533e-06 , 0.00607368634508 , 0.00144245459764 , 0.253952231204 , 0.0743903116022 , 0.000316871544902 , 0.40388917689 , 0.00121516331174 , 8.8280527343e-08 , 7.01741393648e-07 , 0.00117423620368 , 3.08140949403e-05 , 0.000243641089106 , 6.27060907424e-06 , 2.06072821924e-05 , 1.14168501441e-05 , 0.333672504101 , 1.01948036884 , 0.000559563795685 , 0.897040461268 
SIMD.RayTracerBench.Bench , 0.0077866497249 , 0.00570796485585 , 0.000591041739975 , 0.000127946611749 , 0.20694190235 , 0.0017491192162 , 1.5115905793e-07 , 0.486741155862 , 0.61832977817 , 0.00017499987599 , 0.000115765704763 , 0.00775513235053 , 0.000742273958977 , 6.88126953529e-05 , 2.27210995294e+11 , 0.0434981266607 , 3.30660054117e-06 , 0.00554285166248 , 0.0012950187143 , 0.272506904205 , 0.121383795403 , 0.000493819499601 , 0.488037764552 , 0.00107095731298 , 7.43405924442e-08 , 6.26954693877e-07 , 0.00104906805101 , 2.7802725796e-05 , 0.000228488290951 , 9.44835436869e-06 , 2.64708888415e-05 , 1.54281133951e-05 , 0.411894174571 , 1.16491402722 , 0.00086474504346 , 1.00287977732 
PerfLabTests.GetMember.GetMethod20 , 0.00726229639478 , 0.00659185842084 , 0.000537266702619 , 0.000115927611046 , 0.208725870723 , 0.00182664770987 , 1.7958057637e-07 , 0.47813431259 , 0.590709201694 , 0.00015361048436 , 0.000101086398232 , 0.00676628460455 , 0.000674019671194 , 5.04142534577e-05 , 1.91340292445e+11 , 0.0429075458341 , 3.61366124805e-06 , 0.00643967014085 , 0.00151418668958 , 0.271026590214 , 0.132474771435 , 0.000443595423188 , 0.479514323876 , 0.00126137715646 , 8.80002836038e-08 , 7.31111038937e-07 , 0.00122905816645 , 3.22486441363e-05 , 0.00025880302767 , 8.55083359126e-06 , 2.58363094194e-05 , 1.45399432835e-05 , 0.396014982494 , 1.19873291039 , 0.00159512586241 , 1.03803778037 
PerfLabTests.CastingPerf.ObjFooIsObj , 0.00715748003515 , 0.00786448217467 , 0.000505416961309 , 0.000107464189684 , 0.239499995814 , 0.00204980385415 , 2.12539922893e-07 , 0.503540193249 , 0.607339466979 , 0.000144881306916 , 9.31532083021e-05 , 0.00666762744191 , 0.00064864840286 , 5.48321475217e-05 , 1.57965616732e+11 , 0.044410227106 , 4.27020141443e-06 , 0.00766877483886 , 0.00181625515055 , 0.281107466091 , 0.11040707495 , 0.000411724395128 , 0.505046575638 , 0.00151288689238 , 1.07073933872e-07 , 8.95916484409e-07 , 0.00147015025044 , 3.8428311968e-05 , 0.000309437471339 , 8.13233301383e-06 , 2.64918979622e-05 , 1.47268440318e-05 , 0.404019724332 , 1.13386188256 , 0.000730766627499 , 0.942313440605 
Benchstone.BenchF.LLoops.Test , 0.0116710386326 , 0.00516945522585 , 0.000215235032515 , 4.63343167896e-05 , 0.208908832254 , 0.00142642725488 , 1.42590845732e-07 , 0.358646913214 , 0.422896890015 , 6.75128093237e-05 , 3.89284664543e-05 , 0.00314712938366 , 0.000318754569966 , 3.41776772345e-05 , 2.35078204551e+11 , 0.0238488289619 , 2.81934686912e-06 , 0.00504471619674 , 0.00120969712842 , 0.306234505549 , 0.10113699146 , 0.000172571660046 , 0.359682165612 , 0.00100943155684 , 7.36350697976e-08 , 6.05947285807e-07 , 0.000985381075385 , 2.6040070417e-05 , 0.000201740191485 , 3.69678678489e-06 , 1.39372767725e-05 , 7.46001103484e-06 , 0.322136392298 , 1.09101697697 , 0.000308413211418 , 0.897780411945 
